Time,Dieselbrücke,Friedberger Straße östlich Afrabrücke,Friedrich-Ebert-Straße östlich Haltestelle Messe,Färberstraße/Gollwitzerstr.,Gögginger Straße südlich Rosenaustraße,Haunstetter Straße Höhe protestantischer Friedhof,Konrad Adenauer Allee Fahrradstraße,Postillionstraße südl. Roggenstraße,Rosenaustraße westlich Gögginger Straße,"Südlich A8-Unterführung, Ostseite",Ulrichsbrücke,Wagenhalsstraße,
2017-01-01 00:00:00,,,,,,,263,,,,,,
2017-01-02 00:00:00,,,,,,,836,,,,,,
2017-01-03 00:00:00,,,,,,,788,,,,,,
2017-01-04 00:00:00,,,,,,,693,,,,,,
2017-01-05 00:00:00,,,,,,,790,,,,,,
2017-01-06 00:00:00,,,,,,,263,,,,,,
2017-01-07 00:00:00,,,,,,,464,,,,,,
2017-01-08 00:00:00,,,,,,,181,,,,,,
2017-01-09 00:00:00,,,,,,,970,,,,,,
2017-01-10 00:00:00,,,,,,,1191,,,,,,
2017-01-11 00:00:00,,,,,,,1002,,,,,,
2017-01-12 00:00:00,,,,,,,1225,,,,,,
2017-01-13 00:00:00,,,,,,,1074,,,,,,
2017-01-14 00:00:00,,,,,,,644,,,,,,
2017-01-15 00:00:00,,,,,,,219,,,,,,
2017-01-16 00:00:00,,,,,,,864,,,,,,
2017-01-17 00:00:00,,,,,,,1024,,,,,,
2017-01-18 00:00:00,,,,,,,991,,,,,,
2017-01-19 00:00:00,,,,,,,1048,,,,,,
2017-01-20 00:00:00,,,,,,,1063,,,,,,
2017-01-21 00:00:00,,,,,,,536,,,,,,
2017-01-22 00:00:00,,,,,,,255,,,,,,
2017-01-23 00:00:00,,,,,,,969,,,,,,
2017-01-24 00:00:00,,,,,,,1098,,,,,,
2017-01-25 00:00:00,,,,,,,999,,,,,,
2017-01-26 00:00:00,,,,,,,1205,,,,,,
2017-01-27 00:00:00,,,,,,,1194,,,,,,
2017-01-28 00:00:00,,,,,,,780,,,,,,
2017-01-29 00:00:00,,,,,,,404,,,,,,
2017-01-30 00:00:00,,,,,,,1225,,,,,,
2017-01-31 00:00:00,,,,,,,961,,,,,,
2017-02-01 00:00:00,,,,,,,1553,,,,,,
2017-02-02 00:00:00,,,,,,,1789,,,,,,
2017-02-03 00:00:00,,,,,,,1538,,,,,,
2017-02-04 00:00:00,,,,,,,1220,,,,,,
2017-02-05 00:00:00,,,,,,,636,,,,,,
2017-02-06 00:00:00,,,,,,,1626,,,,,,
2017-02-07 00:00:00,,,,,,,1874,,,,,,
2017-02-08 00:00:00,,,,,,,1713,,,,,,
2017-02-09 00:00:00,,,,,,,1715,,,,,,
2017-02-10 00:00:00,,,,,,,1612,,,,,,
2017-02-11 00:00:00,,,,,,,1062,,,,,,
2017-02-12 00:00:00,,,,,,,444,,,,,,
2017-02-13 00:00:00,,,,,,,1617,,,,,,
2017-02-14 00:00:00,,,,,,,1748,,,,,,
2017-02-15 00:00:00,,,,,,,1834,,,,,,
2017-02-16 00:00:00,,,,,,,2156,,,,,,
2017-02-17 00:00:00,,,,,,,1377,,,,,,
2017-02-18 00:00:00,,,,,,,892,,,,,,
2017-02-19 00:00:00,,,,,,,605,,,,,,
2017-02-20 00:00:00,,,,,,,1771,,,,,,
2017-02-21 00:00:00,,,,,,,1376,,,,,,
2017-02-22 00:00:00,,,,,,,1803,,,,,,
2017-02-23 00:00:00,,,,,,,2095,,,,,,
2017-02-24 00:00:00,,,,,,,1583,,,,,,
2017-02-25 00:00:00,,,,,,,1267,,,,,,
2017-02-26 00:00:00,,,,,,,623,,,,,,
2017-02-27 00:00:00,,,,,,,1902,,,,,,
2017-02-28 00:00:00,,,,,,,950,,,,,,
2017-03-01 00:00:00,,,,,,,1562,,,,,,
2017-03-02 00:00:00,,,,,,,1564,,,,,,
2017-03-03 00:00:00,,,,,,,1729,,,,,,
2017-03-04 00:00:00,,,,,,,1521,,,,,,
2017-03-05 00:00:00,,,,,,,760,,,,,,
2017-03-06 00:00:00,,,,,,,1880,,,,,,
2017-03-07 00:00:00,,,,,,,1804,,,,,,
2017-03-08 00:00:00,,,,,,,1953,,,,,,
2017-03-09 00:00:00,,,,,,,1358,,,,,,
2017-03-10 00:00:00,,,,,,,2073,,,,,,
2017-03-11 00:00:00,,,,,,,1545,,,,,,
2017-03-12 00:00:00,,,,,,,989,,,,,,
2017-03-13 00:00:00,,,,,,,2381,,,,,,
2017-03-14 00:00:00,,,,,,,2540,,,,,,
2017-03-15 00:00:00,,,,,,,2536,,,,,,
2017-03-16 00:00:00,,,,,,,2756,,,,,,
2017-03-17 00:00:00,,,,,,,2468,,,,,,
2017-03-18 00:00:00,,,,,,,723,,,,,,
2017-03-19 00:00:00,,,,,,,653,,,,,,
2017-03-20 00:00:00,,,,,,,2230,,,,,,
2017-03-21 00:00:00,,,,,,,2558,,,,,,
2017-03-22 00:00:00,,,,,,,1571,,,,,,
2017-03-23 00:00:00,,,,,,,2625,,,,,,
2017-03-24 00:00:00,,,,,,,2369,,,,,,
2017-03-25 00:00:00,,,,,,,1777,,,,,,
2017-03-26 00:00:00,,,,,,,1036,,,,,,
2017-03-27 00:00:00,,,,,,,2861,,,,,,
2017-03-28 00:00:00,,,,,,,3123,,,,,,
2017-03-29 00:00:00,,,,,,,3138,,,,,,
2017-03-30 00:00:00,,,,,,,3339,,,,,,
2017-03-31 00:00:00,,,,,,,3513,,,,,,
2017-04-01 00:00:00,,,,,,,2176,,,,,,
2017-04-02 00:00:00,,,,,,,1362,,,,,,
2017-04-03 00:00:00,,,,,,,2970,,,,,,
2017-04-04 00:00:00,,,,,,,2281,,,,,,
2017-04-05 00:00:00,,,,,,,2908,,,,,,
2017-04-06 00:00:00,,,,,,,2811,,,,,,
2017-04-07 00:00:00,,,,,,,2837,,,,,,
2017-04-08 00:00:00,,,,,,,2286,,,,,,
2017-04-09 00:00:00,,,,,,,1544,,,,,,
2017-04-10 00:00:00,,,,,,,3022,,,,,,
2017-04-11 00:00:00,,,,,,,2809,,,,,,
2017-04-12 00:00:00,,,,,,,2861,,,,,,
2017-04-13 00:00:00,,,,,,,2619,,,,,,
2017-04-14 00:00:00,,,,,,,881,,,,,,
2017-04-15 00:00:00,,,,,,,1472,,,,,,
2017-04-16 00:00:00,,,,,,,433,,,,,,
2017-04-17 00:00:00,,,,,,,432,,,,,,
2017-04-18 00:00:00,,,,,,,1162,,,,,,
2017-04-19 00:00:00,,,,,,,1479,,,,,,
2017-04-20 00:00:00,,,,,,,1876,,,,,,
2017-04-21 00:00:00,,,,,,,2364,,,,,,
2017-04-22 00:00:00,,,,,,,1276,,,,,,
2017-04-23 00:00:00,,,,,,,886,,,,,,
2017-04-24 00:00:00,,,,,,,3230,,,,,,
2017-04-25 00:00:00,,,,,,,1520,,,,,,
2017-04-26 00:00:00,,,,,,,1192,,,,,,
2017-04-27 00:00:00,,,,,,,1254,,,,,,
2017-04-28 00:00:00,,,,,,,1191,,,,,,
2017-04-29 00:00:00,,,,,,,1570,,,,,,
2017-04-30 00:00:00,,,,,,,1370,,,,,,
2017-05-01 00:00:00,,,,,,,626,,,,,,
2017-05-02 00:00:00,,,,,,,2202,,,,,,
2017-05-03 00:00:00,,,,,,,2515,,,,,,
2017-05-04 00:00:00,,,,,,,2417,,,,,,
2017-05-05 00:00:00,,,,,,,2612,,,,,,
2017-05-06 00:00:00,,,,,,,2356,,,,,,
2017-05-07 00:00:00,,,,,,,776,,,,,,
2017-05-08 00:00:00,,,,,,,1089,,,,,,
2017-05-09 00:00:00,,,,,,,2574,,,,,,
2017-05-10 00:00:00,,,,,,,3551,,,,,,
2017-05-11 00:00:00,,,,,,,3621,,,,,,
2017-05-12 00:00:00,,,,,,,3257,,,,,,
2017-05-13 00:00:00,,,,,,,2449,,,,,,
2017-05-14 00:00:00,,,,,,,1012,,,,,,
2017-05-15 00:00:00,,,,,,,3443,,,,,,
2017-05-16 00:00:00,,,,,,,4137,,,,,,
2017-05-17 00:00:00,,,,,,,4387,,,,,,
2017-05-18 00:00:00,,,,,,,4190,,,,,,
2017-05-19 00:00:00,,,,,,,2956,,,,,,
2017-05-20 00:00:00,,,,,,,2623,,,,,,
2017-05-21 00:00:00,,,,,,,1389,,,,,,
2017-05-22 00:00:00,,,,,,,4082,,,,,,
2017-05-23 00:00:00,,,,,,,4312,,,,,,
2017-05-24 00:00:00,,,,,,,3880,,,,,,
2017-05-25 00:00:00,,,,,,,1521,,,,,,
2017-05-26 00:00:00,,,,,,,3717,,,,,,
2017-05-27 00:00:00,,,,,,,2586,,,,,,
2017-05-28 00:00:00,,,,,,,1643,,,,,,
2017-05-29 00:00:00,,,,,,,4422,,,,,,
2017-05-30 00:00:00,,,,,,,4196,,,,,,
2017-05-31 00:00:00,,,,,,,4399,,,,,,
2017-06-01 00:00:00,,,,,,,4522,,,,,,
2017-06-02 00:00:00,,,,,,,4137,,,,,,
2017-06-03 00:00:00,,,,,,,2611,,,,,,
2017-06-04 00:00:00,,,,,,,936,,,,,,
2017-06-05 00:00:00,,,,,,,937,,,,,,
2017-06-06 00:00:00,,,,,,,1685,,,,,,
2017-06-07 00:00:00,,,,,,,2027,,,,,,
2017-06-08 00:00:00,,,,,,,3567,,,,,,
2017-06-09 00:00:00,,,,,,,3163,,,,,,
2017-06-10 00:00:00,,,,,,,2443,,,,,,
2017-06-11 00:00:00,,,,,,,1604,,,,,,
2017-06-12 00:00:00,,,,,,,3315,,,,,,
2017-06-13 00:00:00,,,,,,,3959,,,,,,
2017-06-14 00:00:00,,,,,,,3881,,,,,,
2017-06-15 00:00:00,,,,,,,1821,,,,,,
2017-06-16 00:00:00,,,,,,,3039,,,,,,
2017-06-17 00:00:00,,,,,,,2482,,,,,,
2017-06-18 00:00:00,,,,,,,1615,,,,,,
2017-06-19 00:00:00,,,,,,,4538,,,,,,
2017-06-20 00:00:00,,,,,,,4556,,,,,,
2017-06-21 00:00:00,,,,,,,4504,,,,,,
2017-06-22 00:00:00,,,,,,,4375,,,,,,
2017-06-23 00:00:00,,,,,,,4284,,,,,,
2017-06-24 00:00:00,,,,,,,3495,,,,,,
2017-06-25 00:00:00,,,,,,,1583,,,,,,
2017-06-26 00:00:00,,,,,,,4539,,,,,,
2017-06-27 00:00:00,,,,,,,3595,,,,,,
2017-06-28 00:00:00,,,,,,,3916,,,,,,
2017-06-29 00:00:00,,,,,,,2943,,,,,,
2017-06-30 00:00:00,,,,,,,4632,,,,,,
2017-07-01 00:00:00,,,,,,,3173,,,,,,
2017-07-02 00:00:00,,,,,,,1202,,,,,,
2017-07-03 00:00:00,,,,,,,3956,,,,,,
2017-07-04 00:00:00,,,,,,,4602,,,,,,
2017-07-05 00:00:00,,,,,,,4764,,,,,,
2017-07-06 00:00:00,,,,,,,4771,,,,,,
2017-07-07 00:00:00,,,,,,,3912,,,,,,
2017-07-08 00:00:00,,,,,,,2794,,,,,,
2017-07-09 00:00:00,,,,,,,1397,,,,,,
2017-07-10 00:00:00,,,,,,,3669,,,,,,
2017-07-11 00:00:00,,,,,,,4441,,,,,,
2017-07-12 00:00:00,,,,,,,3763,,,,,,
2017-07-13 00:00:00,,,,,,,4792,,,,,,
2017-07-14 00:00:00,,,,,,,3475,,,,,,
2017-07-15 00:00:00,,,,,,,3088,,,,,,
2017-07-16 00:00:00,,,,,,,1816,,,,,,
2017-07-17 00:00:00,,,,,,,4462,,,,,,
2017-07-18 00:00:00,,,,,,,4742,,,,,,
2017-07-19 00:00:00,,,,,,,4728,,,,,,
2017-07-20 00:00:00,,,,,,,4126,,,,,,
2017-07-21 00:00:00,,,,,,,4268,,,,,,
2017-07-22 00:00:00,,,,,,,3032,,,,,,
2017-07-23 00:00:00,,,,,,,1495,,,,,,
2017-07-24 00:00:00,,,,,,,3026,,,,,,
2017-07-25 00:00:00,,,,,,,2673,,,,,,
2017-07-26 00:00:00,,,,,,,1018,,,,,,
2017-07-27 00:00:00,,,,,,,3018,,,,,,
2017-07-28 00:00:00,,,,,,,3973,,,,,,
2017-07-29 00:00:00,,,,,,,3390,,,,,,
2017-07-30 00:00:00,,,,,,,1822,,,,,,
2017-07-31 00:00:00,,,,,,,3916,,,,,,
2017-08-01 00:00:00,,,,,,,3839,,,,,,
2017-08-02 00:00:00,,,,,,,3778,,,,,,
2017-08-03 00:00:00,,,,,,,3826,,,,,,
2017-08-04 00:00:00,,,,,,,3295,,,,,,
2017-08-05 00:00:00,,,,,,,2606,,,,,,
2017-08-06 00:00:00,,,,,,,1276,,,,,,
2017-08-07 00:00:00,,,,,,,3543,,,,,,
2017-08-08 00:00:00,,,,,,,1506,,,,,,
2017-08-09 00:00:00,,,,,,,2944,,,,,,
2017-08-10 00:00:00,,,,,,,2175,,,,,,
2017-08-11 00:00:00,,,,,,,1960,,,,,,
2017-08-12 00:00:00,,,,,,,1571,,,,,,
2017-08-13 00:00:00,,,,,,,1330,,,,,,
2017-08-14 00:00:00,,,,,,,3186,,,,,,
2017-08-15 00:00:00,,,,,,,1563,,,,,,
2017-08-16 00:00:00,,,,,,,2610,,,,,,
2017-08-17 00:00:00,,,,,,,3337,,,,,,
2017-08-18 00:00:00,,,,,,,2985,,,,,,
2017-08-19 00:00:00,,,,,,,1606,,,,,,
2017-08-20 00:00:00,,,,,,,1294,,,,,,
2017-08-21 00:00:00,,,,,,,3202,,,,,,
2017-08-22 00:00:00,,,,,,,3201,,,,,,
2017-08-23 00:00:00,,,,,,,3168,,,,,,
2017-08-24 00:00:00,,,,,,,3280,,,,,,
2017-08-25 00:00:00,,,,,,,3209,,,,,,
2017-08-26 00:00:00,,,,,,,2429,,,,,,
2017-08-27 00:00:00,,,,,,,1110,,,,,,
2017-08-28 00:00:00,,,,,,,2589,,,,,,
2017-08-29 00:00:00,,,,,,,3408,,,,,,
2017-08-30 00:00:00,,,,,,,3389,,,,,,
2017-08-31 00:00:00,,,,,,,1886,,,,,,
2017-09-01 00:00:00,,,,,,,853,,,,,,
2017-09-02 00:00:00,,,,,,,1082,,,,,,
2017-09-03 00:00:00,,,,,,,983,,,,,,
2017-09-04 00:00:00,,,,,,,3249,,,,,,
2017-09-05 00:00:00,,,,,,,2760,,,,,,
2017-09-06 00:00:00,,,,,,,2726,,,,,,
2017-09-07 00:00:00,,,,,,,2794,,,,,,
2017-09-08 00:00:00,,,,,,,3096,,,,,,
2017-09-09 00:00:00,,,,,,,1412,,,,,,
2017-09-10 00:00:00,,,,,,,966,,,,,,
2017-09-11 00:00:00,,,,,,,3189,,,,,,
2017-09-12 00:00:00,,,,,,,2573,,,,,,
2017-09-13 00:00:00,,,,,,,2615,,,,,,
2017-09-14 00:00:00,,,,,,,2220,,,,,,
2017-09-15 00:00:00,,,,,,,3146,,,,,,
2017-09-16 00:00:00,,,,,,,1620,,,,1490,,
2017-09-17 00:00:00,,,,,,,1051,,,,1495,,
2017-09-18 00:00:00,,,,,,,2783,,,,2331,,
2017-09-19 00:00:00,,,,,,,2744,,,,2104,,
2017-09-20 00:00:00,,,,,,,2829,,,,2145,,
2017-09-21 00:00:00,,,,,,,3301,,,,2623,,
2017-09-22 00:00:00,,,,,,,3227,,,,2649,,
2017-09-23 00:00:00,,,,,,,2314,,,,2044,,
2017-09-24 00:00:00,,,,,,,1250,,,,1422,,
2017-09-25 00:00:00,,,,,,,3228,,,,2664,,
2017-09-26 00:00:00,,,,,,,3367,,,,2862,,
2017-09-27 00:00:00,,,,,,,3330,,,,2632,,
2017-09-28 00:00:00,,,,,,,3456,,,,2795,,
2017-09-29 00:00:00,,,,,,,3005,,,,2395,,
2017-09-30 00:00:00,,,,,,,2208,,,,2294,,
2017-10-01 00:00:00,,,,,,,956,,,,1159,,
2017-10-02 00:00:00,,,,,,,2810,,,,2288,,
